日期,IAH,MCO,ORD,ATL,DFW,EWR,MIA,MIA-MCO,CLT,Total_Routes
2025-10-07,1.0,1.0,2.0,2.0,3.0,6.0,1.0,0.0,0.0,16.0
2025-10-08,1.0,1.0,3.0,2.0,2.0,5.0,2.0,0.0,0.0,16.0
2025-10-09,1.0,1.0,3.0,2.0,2.0,5.0,2.0,0.0,0.0,16.0
2025-10-10,1.0,1.0,3.0,2.0,2.0,5.0,2.0,0.0,0.0,16.0
2025-10-11,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,5.0
2025-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-13,1.0,2.0,3.0,2.0,3.0,7.0,2.0,0.0,0.0,20.0
2025-10-14,1.0,2.0,3.0,2.0,3.0,6.0,2.0,0.0,0.0,19.0
2025-10-15,1.0,1.0,3.0,2.0,2.0,5.0,5.0,0.0,0.0,19.0
2025-10-16,1.0,1.0,3.0,2.0,2.0,5.0,3.0,0.0,0.0,17.0
2025-10-17,1.0,1.0,3.0,2.0,2.0,5.0,2.0,0.0,0.0,16.0
2025-10-18,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,5.0
2025-10-19,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0
2025-10-20,2.0,2.0,4.0,3.0,3.0,7.0,3.0,0.0,0.0,24.0
2025-10-21,1.0,2.0,3.0,2.0,2.0,6.0,2.0,0.0,0.0,18.0
2025-10-22,1.0,1.0,3.0,2.0,2.0,5.0,2.0,0.0,0.0,16.0
2025-10-23,1.0,1.0,3.0,2.0,2.0,6.0,2.0,0.0,0.0,17.0
2025-10-24,1.0,1.0,2.0,2.0,3.0,5.0,2.0,0.0,0.0,16.0
2025-10-25,0.0,0.0,1.0,1.3,1.0,1.0,0.0,1.0,0.0,5.3
2025-10-26,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,5.0
2025-10-27,2.0,2.0,4.0,3.0,4.0,1.0,3.0,0.0,0.0,19.0
2025-10-28,2.0,2.0,3.0,3.0,4.0,4.0,2.0,0.0,0.0,20.0
2025-10-29,1.0,1.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,13.0
2025-10-30,1.0,1.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,13.0
2025-10-31,1.0,0.0,3.0,2.0,3.0,1.0,3.0,0.0,0.0,13.0
2025-11-01,1.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,8.0
2025-11-02,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,7.0
2025-11-03,2.0,2.0,4.0,3.0,4.0,3.0,3.0,0.0,0.0,21.0
2025-11-04,2.0,2.0,3.0,3.0,4.0,4.0,2.0,0.0,0.0,20.0
2025-11-05,2.0,1.0,3.0,2.0,3.0,2.0,2.0,0.0,0.0,15.0
2025-11-06,2.0,1.0,3.0,2.0,3.0,2.0,2.0,0.0,0.0,15.0
2025-11-07,2.0,2.0,3.0,3.0,3.0,3.0,2.0,0.0,0.0,18.0
2025-11-08,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,10.0
2025-11-09,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0
2025-11-10,2.0,2.0,4.0,3.0,4.0,3.0,3.0,0.0,0.0,21.0
2025-11-11,2.0,2.0,3.0,3.0,4.0,6.0,2.0,0.0,0.0,22.0
2025-11-12,2.0,1.0,3.0,3.0,3.0,6.0,2.0,0.0,0.0,20.0
2025-11-13,2.0,2.0,3.0,3.0,3.0,2.0,2.0,0.0,0.0,17.0
2025-11-14,2.0,1.0,4.0,3.0,2.0,2.0,2.0,0.0,0.0,16.0
2025-11-15,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,9.0
2025-11-16,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,7.0
2025-11-17,1.0,2.0,5.0,4.0,4.0,6.0,3.0,0.0,0.0,25.0
2025-11-18,1.0,1.0,3.0,3.0,3.0,5.0,2.0,0.0,0.0,18.0
2025-11-19,2.0,2.0,2.0,3.0,3.0,6.0,1.0,0.0,0.0,19.0
2025-11-20,2.0,2.0,3.0,2.0,3.0,6.0,2.0,0.0,0.0,20.0
2025-11-21,1.0,2.0,3.0,3.0,2.0,7.0,2.0,0.0,0.0,20.0
2025-11-22,1.0,1.0,3.0,2.0,2.0,5.0,0.0,1.0,0.0,15.0
2025-11-23,1.0,1.0,3.0,1.0,2.0,3.0,1.0,0.0,0.0,12.0
2025-11-24,2.0,2.0,4.0,2.0,4.0,6.0,3.0,1.0,0.0,24.0
2025-11-25,1.0,1.0,3.0,1.0,4.0,3.0,1.0,0.0,0.0,14.0
2025-11-26,1.0,2.0,4.0,3.0,4.0,9.0,3.0,0.0,0.0,26.0
2025-11-27,1.0,2.0,3.0,2.0,2.0,6.0,1.0,0.0,0.0,17.0
2025-11-28,2.0,2.0,5.0,3.0,5.0,7.0,3.0,0.0,0.0,27.0
2025-11-29,2.0,1.0,3.0,2.0,3.0,4.0,2.0,0.0,0.0,17.0
2025-11-30,1.0,1.0,2.0,1.0,1.0,5.0,2.0,0.0,0.0,13.0
2025-12-01,2.0,2.0,2.0,3.0,4.0,6.0,3.0,0.0,0.0,22.0
2025-12-02,2.0,2.0,5.0,2.0,2.0,8.0,4.0,0.0,0.0,25.0
