{'id': 110, 'sync_time': '2026-03-18 21:01:21', 'last_pieces': 0, 'manual_count': 164996, 'device_count': 203692}
{'id': 111, 'sync_time': '2026-03-18 22:01:20', 'last_pieces': 0, 'manual_count': 182017, 'device_count': 213568}
{'id': 112, 'sync_time': '2026-03-18 23:01:21', 'last_pieces': 0, 'manual_count': 197191, 'device_count': 229879}
{'id': 113, 'sync_time': '2026-03-19 00:01:03', 'last_pieces': 0, 'manual_count': 0, 'device_count': 0}
{'id': 114, 'sync_time': '2026-03-19 00:01:03', 'last_pieces': 0, 'manual_count': 0, 'device_count': 0}
{'id': 115, 'sync_time': '2026-03-19 00:01:04', 'last_pieces': 0, 'manual_count': 0, 'device_count': 0}
{'id': 116, 'sync_time': '2026-03-19 00:01:05', 'last_pieces': 0, 'manual_count': 0, 'device_count': 0}
{'id': 117, 'sync_time': '2026-03-19 01:01:03', 'last_pieces': 0, 'manual_count': 6607, 'device_count': 12908}
{'id': 118, 'sync_time': '2026-03-19 01:01:07', 'last_pieces': 0, 'manual_count': 6607, 'device_count': 12908}
{'id': 119, 'sync_time': '2026-03-19 01:01:05', 'last_pieces': 0, 'manual_count': 6607, 'device_count': 12908}
{'id': 120, 'sync_time': '2026-03-19 01:01:09', 'last_pieces': 0, 'manual_count': 6607, 'device_count': 12908}
{'id': 145, 'sync_time': '2026-03-19 10:01:08', 'last_pieces': 0, 'manual_count': 0, 'device_count': 0}
{'id': 146, 'sync_time': '2026-03-19 10:01:08', 'last_pieces': 0, 'manual_count': 0, 'device_count': 0}
{'id': 147, 'sync_time': '2026-03-19 10:47:33', 'last_pieces': 6141, 'manual_count': 23142, 'device_count': 72889}
{'id': 148, 'sync_time': '2026-03-19 11:01:16', 'last_pieces': 0, 'manual_count': 24110, 'device_count': 73765}
{'id': 149, 'sync_time': '2026-03-19 11:01:16', 'last_pieces': 0, 'manual_count': 24110, 'device_count': 73765}
{'id': 150, 'sync_time': '2026-03-19 11:01:16', 'last_pieces': 0, 'manual_count': 24110, 'device_count': 73765}
{'id': 151, 'sync_time': '2026-03-19 11:06:16', 'last_pieces': 999, 'manual_count': 24344, 'device_count': 75024}
